title,tags
Unstable,more.[]
Cursed Manager’s Regression,"! , curs manager' regress manhwa, as a manag for the bongsan group, kim mujin wa a normi that wa part of a support team for transcendents, who fought use supernatur powers.in hi role as a wage slave, he wa task with clean up after the oh-so-great transcend that went around break everything. the onli sweet repriev he had wa hi weekends.however, one day, he got caug more.[""oh! pilseung manag kim ; curs manager' regress ; oh! for your certain victory, manag kim ; 오! 필승 김과장"", 'cmr - studio grigo', 'ongoing', 'action - adventur - comedi - fantasi - manhwa']"
Smartphone Addict,smartphon addict joo damu' 10 year old phone suddenli turn into a human? more.[]
To Be Ordinary!,"due to hi prosopagnosia, sang struggl with maintain a normal school life. it' hard to make friend when everyone' face look like an egg… literally. there' onli one person he can recogn -- ujeong, a mysteri girl who seem to struggl with fit in herself. in their pursuit to be “ordinary”, these two high-school forg an unexpect friendship. more.['futsuu ni naritai ; i want to be normal ; to be ordinari ; ふつうになりたい ; 我想當普通人 ; 평범해지고 싶어', 'kkanaria', 'ongoing', 'comedi - drama - psycholog - romanc - school life - shounen - slice of life']"
Dr. Frost,"we trust profession with our money. we also trust profession with our bodies. we even trust them with the most meticul tasks, like decor our home and educ our children. even marriag decisions. we could trust profession with so mani things. however, what about our minds? the stori of a geniu psychologist, dr. frost. more.['доктор фрост (serbian); 닥터 프로스트 (korean); الدكتور فروست (arabic); 神探佛斯特 (chinese); 닥터 프로스트 (korean); tiến sĩ frost (vietnam - tiếng việt - tv)', 'lee jong-bum', 'ongoing', 'drama - psycholog - seinen - webtoon - manhwa']"
The Tomato Can,"elijah zelenoff dream of make it into the #1 mix martial art promot pankrat f.c. and becom the world champ. the onli problem is that he absolut sucks. to others, elijah' known as a tomato cana step stone for up-and-com fighter with better records. elijah' goal seem unattain until he' offer the chanc to compet in an mma realiti show against 14 other fighter by more.['updating', 'ongoing', 'action']"
Adamasu no Majotachi,"kitou yukinari is an ordinari high school boy. however, while play a game of pocket pool one day, he suddenli felt as if he wa pass a kidney stone. but thi kidney stone wa shini and pink? a trip to the hospit show that yukinari ha a medic maladi call adamasu syndrom - in short, whenev he jet hi juice, a littl diamond pop out of hi saltshaker. of course, it' more.['th witch of adam ; アダマスの魔女たち', 'imai yuu', 'ongoing', 'comedi - seinen']"
Aoharu-sou e Youkoso,"""aoharu-sō is a board hous where high school student with a varieti of person gather. hinata, who is like a littl brother to everyone, hamayuu, who get carri away easili but ha the tempera of a leader, tachibana, who is good at play the guitar, and sena, who ha hi own pace. then kiritani, who is the same age as hinata, move in…?!"" more.[]"
Men of The Harem,"“whi should i onli marri one man?” the femal emperor declared. “dure past generations, the emperor ha had at least five concubin and an averag of fifteen. now that i'm emperor, i should have at least five concubines, too. the son of a chancellor? the successor to a power family? if they'r good, send them to the harem.” “mi favorit one will becom t more.['alpha tart', 'ongoing', 'drama - fantasi - romance']"
How to Become a Dragon,"what should you do when a 1000-year-old imoogi name bari suddenli appear in your apart and demand you pay for the sin of your ancestors? help him becom a dragon, of course! young yoo’ life is on the line as he teach bari the in and out of get along with human in order to prepar for the nakdong river dragon exam. will young be abl to help bari pass the exam and becom a f more.['eon', 'ongoing', 'comedi - fantasi - histor - slice of life - supernatural']"
The Strongest Florist,"hwang jae-ho join a game and want to open a flower shop, thu begin hi long journey of be a florist in a virtual world. more.['꽃만 키우는데 너무강함', 'kumtata', 'ongoing', 'action - adventur - fantasy']"
BlackSun,"hunt sinc birth for a burden he unknowingli carries, yu must discov the secret of hi origin and hi tie to a hidden shinobi world so he can come to realiz the weight of hi destiny, of be the last hopeth last flame of human stand against an ancient demon threat. more.['updating', 'ongoing', 'action - adventur - fantasy']"
Double Click,"what happen when you lose the one thing that you were the best in the world at? jiho seong wa onc a top-rank player in the onlin action game, one sword. when the game eventu shut down due to a lack of players, he lose all interest in competit gaming. that is, until he find out that hi school ha an e-sport club and discov a popular team-bas game call sword rush, which seem more.['더블클릭 ; двойной щелчок', 'park subong (박수봉) - kim janghun (김장훈)', 'ongoing', 'action - comedi - drama - school life - sports']"
Throw the Trash in the Trash can!,"'woobin', who use hi good look to seduc rich women and ha live like trash. he end up fall in love with 'suzy', a chaebol heir who wa onli suppos to be a target of hi seduction. he experi the sweet of love for the first time, but it last onli for a while becaus what' hidden behind suzy' angel-lik appear begin to slowli choke more.['쓰레기는 쓰레기통에! ; trash in the trash can! ; put the trash to where it belongs!', 'eddiering', 'ongoing', 'comedi - drama - mysteri - psycholog - romanc - shoujo - manhwa']"
"Replica Datte, Koi wo suru.","on day when she is sick, on day when she ha a tediou day job, on day when she ha regular tests.on day when she is too lazi to go to school, i am call upon.i am a conveni substitut for the bodi of a girl name sonao aikawa, and that is me.i may look exactli the same, but my person is a littl different.i can't go out freely, i can't even make plan for tomorrow, more.[]"
Daily life with Blue-eyed Senpai,more.[]
"Ossan, Tensei shite Tensai Yakusha ni Naru","he gain out-of-this-world act skill after reincarnating.tanaka taro, a humbl actor, is stab to death one day and reincarn as a littl girl name yamashita maki. with a newfound talent for acting, maki becom a child prodigi and transform the live of everyon around her. get readi for the overwhelm impact she ha on the world!! more.[]"
Charming You,"jimin’ new goal in life is to get her hand on her crush’ underwear, but not for the reason you might think! she ha been advis by her fortun teller that she’ll have a chanc with him if she manag to stick a charm on hi underwear. but how’ she suppos to do that when even just look at him make her tongue-tied? luckily, jimin ha a plan, but will thing go the way she wants, or will s more.['y will like it / you’ll like it / 좋아하게 될 거야', 'park soo jung', 'ongoing', 'comedi - drama - josei - romanc - shoujo']"
Gale Sword of Mountain Hwa,"a streak of blue wind blow in mount hua, known as chung pung.chung pung, a discipl of the mount hua faction, experienc great sorrow after lose hi master, shun hyun. however, dure the mission to retriev the four divin swords, he encount individu who becom hi alli and comrades.chung pung' footstep are like a rage storm that race through the world, and follow him, more.['화산질풍검 ; 華山疾風劍 ; volcan flurri sword ; mount hua wind sword', 'meommu - han baek rim', 'ongoing', 'action - drama - fantasi - martial arts']"
"Mezametara saikyou soubi to uchuusen-mochi datta no de, ikkodate mezashite youhei toshite jiyuu ni ikitai","(from novelupdates) when i woke up, i found myself insid a spaceship. i guess you guy think i’m talk nonsens here, but i also have absolut no clue about what exactli happen to me. i wa realli close to complet lose it, but fortunately, i manag to notic that thi place wa realli similar to the world featur in a game i wa play recently. am i dr more.['when i woke up, i got the strongest equip and a starship, so i went and becam a mercenari in order to live as i pleas while aim for a detach hous ; я очнулся, будучи пилотом сильнейшего космического корабля, а потому решил стать межгалактическим наёмником ; 目覚めたら最強装備と宇宙船持ちだったので、一戸建て目指して傭兵として自由に生きたい ; mezametara saikyou soubi to uchuusenmochi datta node, ikkod mezashit youhei toshit jiyuu ni ikitai ; reborn as a space mercenary: i woke up pilot the strongest starship!', 'ryuto - shunichi matsui', 'ongoing', 'action - comedi - harem - mecha - romanc - shounen - supernatur - isekai']"
Catastrophic Necromancer,"the game ha emerg into reality, the rule of the world have been turn upsid down and human ha enter the era of becom player with the world set as a game stage. the onli way to becom a player is by level up to becom stronger! the onli way to rise to the top of the world! on the day of world fusion lin moyu chose to take on the sole hidden class, necromancer. from then on, lin more.[]"
Requiem for the Queen,"at night, princess millaria, who dream of an unnam queen, becom intertwin with the bodi of a queen from a hundr year ago, as if by fate. and thus, she discov the queen' diary.""i entrust the kingdom to you. i humbl plead with you, bow my head like this.""a dark cloud loom befor her, caus confusion!""who are you?""ferdinand, the duke, somehow recogn her true more.['여왕을 위한 진혼곡 ; 为女王而作的镇魂曲', 'deokgu - yuna (정유나)', 'ongoing', 'drama - fantasy']"
Mr. Feng’s Addiction to Pampering His Wife,"enjoy manhua free at warning:th latest chapter of manhua ""mr. feng' addict to pamper hi wife"" ha just been updat on , the biggest english comic website!summary:ji ruge wa forc by her mother to marri an old man in order to repay their debts. when she wa at her wits' end, she wa save by feng haojue, the heir of a wealthi family. in order to return the favor, the two start a cont more.[]"
Dungeon: Start By Enslaving Blue Star Players,"sherlock is a newli promot dungeon master, determin to becom a great demon king, until he summon a group of peopl who would give themselv some strang names, form gangs, trade with each other, and even the goblin will fight, they call themselv players! more.[]"
He Is So Flirty,"the obedi femal schoolmast qin qing wa accident involv in a fight on the first day of transfer. qin qing use a plan to save the besieg senior. she did not expect that the senior wa the discolor school bulli wen yufeng. from now on, qin qing' peac campu life will never return. . . more.[]"
I Became The Male Lead’s Female Friend,"she becam the failed-in-love, jealou inducer, femal friend of the male lead. in addition, the charact even ha an unrequit love for the male lead. she would be ruined. as long as thi wa the case, she decid to just becom friends! it wa nice to have the first meet with such a young male lead… ""hello, miss bouser."" ""uwa!!"" you were mistaken for a girl and you cried? more.['m convertí en la amiga del protagonista masculino ; 남주의 여자사람친구가 되었다', 'sunshin beast - ggory', 'ongoing', 'drama - fantasi - romanc - webtoon - manhwa']"
The 18 Year Old Spy,"an orphan name hajin, train in north korea ever sinc he wa little. north korea had sent young children down to south korea to climb up the social ladder and take high-rank place on the social hierarchy. hajin wa chosen for thi oper and wa sent over. ""to not be used, you must be the one that use peopl from above."" hajin did not want to be use by the north korean govern but ma more.['spy, 18 year old ; 18 year old spi ; 18-year-old spi ; the 18 year old spi ; 간첩 18세 ; 간첩 십팔세', 'team honey - kim joo-in', 'ongoing', 'action - drama - psycholog - school life - seinen - shounen - manhwa']"
Literature Boy,"after win sever award for write competitions, it seem that as a child, sunwoo had a promis futur when it came to writing. one day, after travel further down the path of success, he declar that he would stop writing! while work at hi mother' publish company, he cross path with haejin, a former classmate. their friendship end in a complic manner, leav them more.['문학소년', 'kim son', 'ongoing', 'drama - romanc - shounen ai']"
Silent Lover,"the cruel and lecher princ x the meek and mute servant. the princ of zhen bei ha hi eye set on the gold and rich of the chen family, and want to take their daughter as a side concubine. in order to reassur hi adopt mother in her old age, the mute, male servant chen yu conceal hi gender and take the place of the daughter to be sent to princ zhen bei. chen yu is afraid that onc more.['哑奴', 'qiang tang', 'ongoing', 'drama - histor - romanc - shounen ai - webtoons']"
Cyclops Shoujo Saipu~,"when fuuka hit her second year of middl school, puberti kick in. now she' realli tall and ha huge boobs. due to her hairstyle, her classmat call her ""saipu,"" after the cyclops. her affect for her older brother wa cute when she wa a littl girl and said she want to marri him. now it just freak him out, sinc she' decid she' adult enough to follow through on her childish promises. more.[]"
The Flower Dances and the Wind Sings,"ercella live a gloriou life everyon envied, but die of an ill at a young age. befor her death, she regret not have becom a proper mother to her son. but somehow, she went back three year ago. ercella is live her second life. i promis to be a love mother thi time. however, is it too late? “now more.['th danc of a flower and the song of the wind ; танец цветов и песнь ветра ; цветы танцуют и ветер поет ; 꽃은 춤추고 바람은 노래한다', 'lanella - sanghaeng', 'ongoing', 'drama - fantasi - josei - romanc - webtoon - manhwa']"
One Night Mate,more.[]
Slave of the Magic Capital's Elite Troops,"thi battl fantasi manga follow sever heroin who protect peopl from the monster that appear through a gate connect to an altern world known as the mato (magic capital). more.['魔都精兵のスレイブ, mato seihei no slave, matoseihei no slave, slave of the magic capital’ elit troops', 'takahiro - youhei takemura', 'ongoing', 'action - adventur - drama - fantasi - romanc - shounen']"
The Royal Prince's First Love,".in order to consolid the statu of the royal prince, he launch an offens in pursuit of a plutocrat daughter, but soon he suffer the first critic hit in hi life. the campu bulli had declar that hi daughter wa a friend that he want to protect. then, he wa hit by a second critic attack on the day he wa fight against the bully. however, he wa intim with the bulli in h more.['el primer amor del príncipe heredero; huangtaizi de chulian; 皇太子的初恋;', 'nan zha zha zi - hao le shen wen hua', 'ongoing', 'drama - romanc - shounen ai - yaoi']"
Etten no Sora,the remnant of a defeat empir prepar to strike back at an invad army.manga adapt by takano chiharu (mari stella of doomsday) from a light novel by jiraigyo. more.[]
Return of the Frozen Player,"5 year after the world changed, the final boss appeared. [the final boss for area earth, the frost queen, ha appeared.] the final boss! if we can just defeat her, our live will go back to normal! the top five player in the world, includ specter seo jun-ho, final defeat the frost queen… but they fell into a deep slumber. 25 year passed. “a second floor? it didn't end wh more.['얼어붙은 플레이어의 귀환', '제리엠', 'ongoing', 'action - adventur - fantasi - shounen']"
My One And Only Cat,"i have someon that i realli like! i want to be a person, too! the burn love of baeksu, a cat, toward yeoul is beyond just ani race. will thi wild beast ever succeed? the handsom yeoul shouldn’t do this, but he keep cross the line with a cat. more.[]"
The Foul,"after the death of hi father, joo hawon is left with hi father’ astronom debt in the foreign land of macau. with no futur in sight, hawon work as a casino dealer, bare get by each day. one day, a mysteri man, kwon taeha, show interest in him. “now then, let’ have some fun, shall we?” hawon agrees, believ that they will be spend their time togeth in a more frivol an more.[':love~4:', 'aczer x chaepali', 'ongoing', 'psycholog - yaoi']"
Global Examination,"thi is a test that put your life at stake. pass the test and survive. when the two-fac examin qin jiu meet the cold examine you huo, the two amnesiac are put head to head in a fight by the inhuman system. however, they form a tactic agreement. the system collaps after a seri of warn and the eras memori gradual becom clearer. it turn out that at the end of thi smoke-fil more.[]"
Pure Love Operation,"/ oper name sunjeong / oper name pure lovei saw my boyfriend kiss my best friend. if that wasn't enough, i wa with a guy whose gut i hate from my class, go eun-hyuk. i wa alreadi shaken up but appar there' a given amount of love that a person receiv in their lifetime? and the amount of love i'm abl to receiv is 0'??? soo-ae, who' tri to chang her pathet fate, and e more.['작전명 순정 ;\noper name sunjeong ;\noper name pure love', 'kkokkalee', 'ongoing', 'comedi - drama - romanc - school life - supernatural']"
Tenmaku no Jadougal,"in the 13th century, fatima, a captiv of the mongol empire, the most power empir on earth, wa taken prison and assign to serv in the imperi palace. with knowledg from iran, the era' foremost expert on medicin and science, fatima seek a world in which she can display her talents. she meet töregene, the sixth wife of the second emperor, ögedei, who ha mix feel about the mon more.[]"
Mato Seihei no Slave,"thi battl fantasi manga follow sever heroin who protect peopl from the monster that appear through a gate connect to an altern world known as the mato (magic capital) more.[""slav of the magic capital' elit troops; 魔都精兵のスレイブ"", 'takahiro', 'ongoing', 'action - adventur - fantasi - seinen']"
Weather Forecast Love,"dong-wook, who wa sensit and picki due to insomnia becaus of the ghost that visit him, fell asleep comfort next to do-hyun for the first time in hi life. it wa the moment when 'unlucki child' becam the onli refug for one person. ""what must i do to have you? , dohyun-ah ""you like me so please, tell me that you like me you can't imagin how eagerli i have wait for your confess ""i more.[]"
It's Not Meguro-san's First Time,"third-year high school student makoto koga decid to confess to hi crush, the school' most beauti girl, second-year saki meguro. to hi surprise, she agre to date him. but what surpris him even more is her follow words: ""i'm not a virgin."" unbeknownst to koga, the surprisingli passiv meguro ha the reput of be the lascivi ""easi girl"" at school, not reject ani b more.['bukan kali pertamanya mbak meguro ; meguro-san wa hajimet ja nai ; не девственница мэгуро-сан ; 目黒さんは初めてじゃない ; 目黑同學並非第一次 ; đâi không phải lần đầu của meguro-san', '9℃', 'ongoing', 'drama - romanc - school life - shoujo - slice of life']"
Don't Mix Business with Pleasure!,"baek do-hoo, a bl novel writer and colleg student, get to know seo joo-heon, a junior from the same university. baek do-hoo, who wa sure that he would come up with a good idea if he conceiv a seme charact base on jooheon, follow him around, analyz him, and develop an interest in seo joo-heon. “do you like me that much? enough to do such a dirti thing?"" more.[]"
Green Plum Island,"when i wa ten, i fell from a tree and hit my head. when i woke up, the world around me had changed. i could see people’ emot in the form of number and colours—pink for love, red for anger, green for awkwardness, blue for sorrow, yellow for desire…i met yan kongshan the summer after colleg entranc exam on green plum island. mysteri and handsome, with a ting of melancholy, he wa t more.[]"
Goblin Slayer: Side Story Year One,"a prequel seri that reveal goblin slayer' past and the event that led him to becom an adventur with the sole purpos of extermin all goblin from the world. more.['ゴブリンスレイヤー外伝：イヤーワン ; goblin slayer gaiden: year one ; goblin slayer side story: year one', 'kagyu kumo', 'ongoing', 'action - adventur - drama - fantasi - matur - seinen']"
Misojibyou no Uta,"six old friend in their thirti meet at a gather of former high school mates. today, everyon ha a stabl life, but they feel dissatisfied. becaus they left behind their childhood dreams, those they would like to find back... more.[]"
Rojiura Brothers,"the stori of a boy who admir delinquents, who end up turn into a cat whenev he sneezes. more.[]"
Dog Nigga,"rex is a half man half dog. he wa creat when a drunk old man forc himself on a stray femal dog in the street. becaus of hi father, rex ha to live hi life as a freak reject by society. so one day... he’ gonna find that man, and r*pe him. more.['black dog ; dn ; dog n ; dog ningen ; سگ سیاه ; 犬の黒人男性', 'dh animations', 'ongoing', 'action - adventur - comedi - psychological']"
Boy's Dormitory 303,"the stupid antic of four dude live together, their “no pain, no gain” lifestyl in school, and mayb there’l be some romanc in the mix~ more.[]"
Tsugumi Project,"leon, an elit soldier from a militarist europe, wa forcibl embark on a secret expedition. in a ruin japan, abandon for more than 200 years, he and hi companion in misfortun must recov a terrifi weapon. it code name: tsugumi. all we know about it is that it destruct potenti is such that the world ha prefer to crush the archipelago under a shower of atom bomb rather more.[]"
Topsy-Turvy,"season one: did you say that the enemi meet on a singl wooden bridge? they are opposit in appear and personality. su-yong and jae-hyun, who have been close friend sinc high school, meet again on the day of the univers entranc ceremony. the inexperienc two face the challeng of duplic positions. season two: my name is kim pyeong-beom, a secondari man. i'm just the role of s more.['h wa a ball ; he wa a top ; アイツは攻めだった〜俺らのポジション強奪戦〜 ; 그놈은 공이었다', 'yongdo', 'ongoing', 'comedi - drama - matur - smut - webtoon - yaoi']"
Logging in as a Monster,"-jinhyeok ha never onc lost in the number one pvp player virtual realiti game “the abyss”.with the news of the releas of “abyss world,” a sequel to “the abyss,” jinhyeok receiv an unexpect offer from hi brother jinho, a game developer.“log in as a monster.”“…what the hell are you talk about?”to commemor the launch of “abyss world”, he could log in as the icon charac more.['login sebagai monster ; log in as a monster ; 몬스터로 로그인', 'whynotm product - yeti', 'ongoing', 'action - drama - fantasy']"
Ian Lane: Executor,"ian lane wake to find himself in an eeri hous with no memori and onli omin stranger for company. he soon discov that he' a member of a team of afterlif enforc and that he wa recent trick into give away an import key, set off a chain of event that disturb the entir balanc of the beyond. it' up to the executor to set thing right again, but between formid new f more.['th execut ; the executor ; 執行者～魂を導く者～ ; 집행자', 'lee seo', 'ongoing', 'adventur - drama - fantasi - mysteri - seinen - shounen - supernatural']"
Rix Vanus,".the handsom and strap princ rix vanu ha return to hi homeland after win a brutal war against demons! and yet... curs by a viciou demon, the warrior princ is torment nightli with shameful, lust-fil hallucin as the demon take the lascivi form of all hi associates. escap to the wild, miraculously, a benevol divin spirit name nuah join the prince, seek t more.['릭스베이누스', 'chanseong', 'ongoing', 'fantasi - smut - yaoi']"
Daughter of a Thousand Faces,"shen yuhua is one of the mani daughter of the great sect leader litter the grand palac of the lihua palac () sect, due to her obviou lack of talent for cultiv and martial arts, she live a neglected, but quiet life, accompani by her seemingli helpless servant, ""swallowtail"". constantli ostrac and mock for fail to find a good husband, yuhua meet leng feng who final seem t more.['updating', 'ongoing', 'fantasi - historical']"
Mobile Suit Zeta Gundam - Define,"univers centuri 0087, seven year after the end of the one year war between the earth feder and the princip of zeon. ensign reccoa lond ha provid the anti-earth union group (aeug) with inform regard possibl mobil suit develop at the civilian coloni of green noa. lieuten quattro (char aznable) with hi wingmen lieuten jg apolli (andy) and roberto (ricardo) hea more.['機動戦士ζガンダ defin ; kidou senshi z gundam define', 'hajim yatate', 'ongoing', 'action - adventur - drama - mecha - psycholog - romanc - shounen - tragedy']"
My One and Only,"arim wa return home after work, drunk and wast when a handsom man appear in front of her and introduc himself as a ""werewolf"". he ask arim if he can stay in her hous for a while. due to thi wolf-man' request, arim, and ten begin their dynam cohabitation. the gorgeou werewolf, ten, is attract to arim' scent and choos her as hi ""mate"". arim teach ten about the human cultur more.['너하나만 ; mein ein und all ;tình yêu của sói', 'chantal - g. season - junseng - 샨탈', 'ongoing', 'comedi - drama - fantasi - romance']"
The Flower Dance and the Wind Song,"more.['상행', 'ongoing', 'action - drama - fantasi - romance']"
The Princess’ Dangerous Brothers,"lestia, who grew up in the slum with her drunken uncl and manag to make end meet by sell flowers. one night when her uncle, who wa threaten by the thug becaus of hi debt, tri to sell her off. “hey, get your hand off her.” a group of beauti boy appear out of nowhere. they defeat the thug at onc and say incred thing to lestia. “it' nice to final more.[""anh trai nguy hiểm của tôi; me redout frères; os perigoso irmão da princesa; para kakak putri duke yang berbahaya ; princess' danger brother ; the princess' danger brother ; the princess' danger brother ; небезпечні брати принцеси ; опасные братья принцессы ; เหล่าพี่ชายสุดอันตรายของคุณหนู ; 公女様の危ないお兄ちゃんたち"", 'renshu', 'ongoing', 'fantasi - histor - romanc - shoujo - webtoon - manhwa']"
For you 99%,"jun enter the same high school as hi best friend who is also hi unrequit love, doha. jun suggest to start a fake relationship with doha who have no intent of date despit hi popular as date practic but… can jun protect thi relationship despit have dami who ha fallen for doha at first sight as an obstacle? - (https://i.imgur.com/dqcxzku.png) author' twitter>(http more.[]"
Honey Trouble,"attach at the hip for 20 years, jiheon and wooju are practic inseparable. there' definit someth simmer between them but jiheon is an alpha and wooju, just a beta. not onli that, but wooju’ had hi eye on someon els lately, anyways. ever the good friend, jiheon make an unexpect suggest to wooju in order to get the attent of the one he desires. but is there a layer of ma more.['ハニートラブル 〜甘い罠にはご用心〜 ; 허니 트러블 ;\nฮันนี่ทรับเบิล', 'morak', 'ongoing', 'drama - matur - smut - webtoon - yaoi']"
Vanilla Taste,"let’ say that you’r an averag colleg student live with your friend, who is total handsome, veri smart, and treat you well. he’ the ideal roommate. now, let’ say that you accident find out that thi friend is into bdsm, and then he propos you for sex. sound wild, right? well, that’ the exact situat sodam land in when hi friend hajoon turn out to be veri into bdsm. but sodam more.['바닐라 테이스트', 'i.a - aame', 'ongoing', 'drama - romanc - smut - yaoi']"
I Will Fall With The Emperor,"if i accept hi offer and becam hi empress at that time, would i be abl to live a littl longer? i don't know but if i had i wouldn't have felt that pain of disloc my eye but onli when i went 10 year back and stood next to him i realiz he fell when i fell we were so much alik which is whi he contact me. more.['황제와 함께 타락하겠습니다', 'tenichi', 'ongoing', 'drama - fantasi - romance']"
Can’t Hold,"on the kind qin qing’ first day of transfer, she accident got involv in the middl of someon pick a fight. qin qing use a strategi to save her senior who’ been gang upon, not know that he’ wen yufeng, the infam school bully! from that moment forward, qin qing’ peac high school life wa gone forever… – updat everi sunday. adapt fro more.[]"
Love at First Night,"after get marri for a few months, she never met her husband. meanwhile, a cold ceo suddenli came into her life and began to pursu her passionately. on one side, it wa the gentl and consider husband she had never seen; on the other side, it wa the ceo who ha been with her for a long time. how will she choose… more.['updating', 'ongoing', 'romanc - webtoons']"
Her Ladyship’s Scheme,"in her previou life, bian xia wa forc to hide behind a mask of kind craft by her ""benevolent"" stepmother, while her ""kind"" half-sist spread viciou lie about her. when bian xia found herself back into a corner, she turn to her fiance, the prince, for help, but he betray her and chose her stepsist instead. now, if time were to turn back and give her anoth chance, would s more.['konspirasi sang putri ; đích nữ vi mưu ; การแก้แค้นของหมอสาวที่เกิดใหม่ ; 嫡女为谋', 'iciyuan', 'ongoing', 'action - drama - fantasi - histor - josei - martial art - romance']"
My Cute Baby Is A Wingman,"top hacker ann jiujiu sneak into an auction, intend to steal a gem, but unexpectedli lose her baby! instead, there is a child who look exactli like her son, onli a bit dumb? when the littl fox an jiujiu meet the big black wolf ji jinchen, she hide from him, but he still catch her firmly. sinc we can't escape, we'll train him to be a good dog, and what' the fate of marriage, we alreadi more.[]"
Wet Sand,"a thoughtless finger slip lead joe to snap a pictur of yeongwoo (ian) smoke on hi balconi - and thus, their fate begin to intertwine. joe can't stop fantas about the tall, handsom stranger on the balcony, and and he grab ani chanc to get to know him better. unfortunately, he doesn't realiz that yeongwoo doe the dirti work for one of the region' largest, most unsavori gangs... and more.['wet sand (웻샌드) ; wetsand ; мокрый песок ; 湿沙 ; 웻샌드', 'doyak', 'ongoing', 'drama - webtoon - yaoi']"
The Daughter of the Albert House Wishes for Ruin,"mari albert, the daughter of the promin nobl albert house, rememb that thi world is an otom game she play in her past life. and she is the game protagonist… er, the protagonist' enemy, the typic nobl villai who bulli the protagonist. if matter proceed like that in the game, her famili will fall into ruin and she herself will be incarcer in the northernmost end more.[]"
Angel Beats! Tabisuru Tenshi-chan,"kanad tachibana is a cute girl who is call ""tenshi-chan"" at school. she travel all over the countri in search of ""someone"". dure her travels, when she stop by kanagawa, she meet yuri nakamura, a live and cheer girl. peopl who look a lot like sss member also appear on the road!? will angel be abl to find ""a certain person""...? more.['travel tenshi-chan ; 旅する天使ちゃん ; angel beats! 旅する天使ちゃん ; enjerubītsu tabi suru tenshi-chan ; thiên sứ-chan du hành', 'key', 'ongoing', 'comedi - fantasi - seinen - slice of life - supernatural']"
Comedown Machine,"“warning: matur content: thi manga contain materi that might not be suitabl to children under 17. by proceeding, you are confirm that you are 17 or older.” after tommi find out that her long-term boyfriend is cheat on her, she jump into a relationship with a celebr in the city. as their relationship develops, so do their problems, especi as tommi continu live with h more.[]"
Genius Doctor Lee Moo-jin,"popular author lee hae-nal' origin novel ha been reborn as a webtoon- moo-jin, who is famou for fight in the neighborhood, accident get hi hand on a scalpel. and find aculle, the mysteri doctor insid the scalpel; “i'll turn you into a doctor!” these word from her, turn moo-jin' life 180 degrees! with the help of aculle, moo-jin, who didn't know th more.['김형사 이해날', 'ongoing', 'action - adventur - comedi - drama - fantasy']"
Suki na Ko ga Megane wo Wasureta,"komura is a middl school boy who is head-over-heel in love with hi next-seat neighbor mie, a girl with terribl eyesight who just can't get use to carri her glasses, often leav them at home, or accident break them. he opt to help her as much as he possibl can, and through those efforts, she begin get acquaint with hi kindness. will she reciprocate? more.[]"
Chiisai Boku no Haru,"suzuki souta, a high school boy on the school volleybal team, is interest in hi classmat shinonom asahi, a member of the girls' volleybal team. she thought of him as a good volleybal player, so she ha been seek him out everi day. souta wa a keen volleybal player until junior high. however, becaus of hi height, he could never becom the spiker he long to be. as a result, he got in more.[]"
Housewife X JK,"a housewif and her daughter' friend have a littl affair. will they be caught or will it end as just ""sex-friends""? more.['hitoduma to jk ; ibu rumah tangga dan cewek sma ; 人妻とjk', 'yakiniku teishoku', 'ongoing', 'slice of life - erotica']"
Kyokutou Chimeratica,"“chimeras"", creatur that can steal and use the form of ani creatur except humans. hunt these creatur are ""hunters"", and one of them, yuri, live a free-wheel life. but when she encount a human-shap chimera, someth ""mysterious"" take rest within her---. these hunters' spear skill will charm you! a super-beast hunt action story! more.[]"
Akuyaku Reijou no Shitsuji-sama Hametsu,"regain the memori of hi previou life, cyril realis that he wa an otom game’ character, the villain daughter– sophia’ valet. at the rate thing were going, sophia would eventu have the princ stolen away from her by the heroine, fall into darkness, and be executed. want to save the villain daughter he wa so fond of, cyril move to elimin all the facto more.[""akuyaku reijō no shitsuji-sama hametsu furagu wa ore ga tsubusa sete itadakimasu ; akuyaku reijou no shitsuji-sama ; akuyaku reijou no shitsuji-sama ~ ore ga sodateta kanojo wa totemo kawaii ~ ; the villainess' butler ; the villain daughter’ butler ~i rais her to be veri cute~ ; the villain daughter’ butler i’ll crush the destruct flag ; 悪役令嬢の執事様\u3000～俺が育てた彼女はとても可愛い～ ; 悪役令嬢の執事様 破滅 ; 悪役令嬢の執事様 破滅フラグは俺が潰させていただきます"", 'hiiro no ame - shoubu', 'ongoing', 'comedi - fantasi - romanc - seinen - slice of life']"
I Corrupted the Good Male Lead,"i corrupt the good male lead mamhwa, i possess the friend of the male protagonist who suffer from an incur disease.i just want to play a lot and enjoy my short life befor i die, but the good male protagonist keep interrupt me.it wa sicken so i tri to coax him into the path of evil well, he suddenli turn into a villain. is thi my fault.?i corrupt the good male protagonist more.['i corrupt the good male lead ;i corrupt the good male lead (novel) ; my male lead is so cute (novel) ; 선량한 남자 주인공을 타락시켰다 (novel)', 'corona', 'ongoing', 'drama - fantasi - romanc - shoujo - manhwa']"
